GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Mon Oct 13 12:40:33 GMT-05:00 2025,13-oct-2025 12:40:34.447,-74.08538279123604,4.632816310040653,1.8359999170303354,3.0,2567.0,301.3999938964844,0.02,0.15,0.87,
Mon Oct 13 12:40:34 GMT-05:00 2025,13-oct-2025 12:40:35.448,-74.0853834617883,4.632814382202923,0.7919999747276307,3.5,2567.0,301.3999938964844,0.02,0.15,0.87,
Mon Oct 13 12:40:35 GMT-05:00 2025,13-oct-2025 12:40:36.448,-74.08538497053087,4.632812202908099,0.107999994724989,3.5,2567.0,301.3999938964844,0.02,0.15,0.87,
Mon Oct 13 12:40:36 GMT-05:00 2025,13-oct-2025 12:40:37.449,-74.08538069576025,4.632810861803591,1.9079998464584378,3.5,2567.0,301.3999938964844,0.02,0.15,0.88,
Mon Oct 13 12:40:37 GMT-05:00 2025,13-oct-2025 12:40:38.449,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.02,0.15,0.88,
Mon Oct 13 12:40:38 GMT-05:00 2025,13-oct-2025 12:40:39.449,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.02,0.15,0.87,
Mon Oct 13 12:40:39 GMT-05:00 2025,13-oct-2025 12:40:40.448,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.02,0.16,0.88,
Mon Oct 13 12:40:40 GMT-05:00 2025,13-oct-2025 12:40:41.449,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.02,0.15,0.87,
Mon Oct 13 12:40:41 GMT-05:00 2025,13-oct-2025 12:40:42.448,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.02,0.15,0.88,
Mon Oct 13 12:40:42 GMT-05:00 2025,13-oct-2025 12:40:43.449,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.0,0.15,0.87,
Mon Oct 13 12:40:43 GMT-05:00 2025,13-oct-2025 12:40:44.450,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.02,0.16,0.87,
Mon Oct 13 12:40:44 GMT-05:00 2025,13-oct-2025 12:40:45.451,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.02,0.15,0.87,
Mon Oct 13 12:40:45 GMT-05:00 2025,13-oct-2025 12:40:46.450,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.01,0.16,0.85,
Mon Oct 13 12:40:46 GMT-05:00 2025,13-oct-2025 12:40:47.451,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,0.01,0.16,0.87,
Mon Oct 13 12:40:47 GMT-05:00 2025,13-oct-2025 12:40:48.450,-74.08538237214088,4.632810819894075,0.0,3.5,2567.0,0.0,-0.01,0.21,0.84,
Mon Oct 13 12:40:48 GMT-05:00 2025,13-oct-2025 12:40:49.451,-74.08538170158863,4.632810652256012,0.6119999902248381,3.5,2568.0,301.3999938964844,0.04,-0.26,0.86,
Mon Oct 13 12:40:49 GMT-05:00 2025,13-oct-2025 12:40:50.449,-74.08538145013154,4.632811825722456,0.5399999535083779,3.5,2568.0,301.3999938964844,-0.07,0.03,0.88,
Mon Oct 13 12:40:50 GMT-05:00 2025,13-oct-2025 12:40:51.450,-74.0853818692267,4.632815136574209,1.47599994802475,3.5,2568.0,301.3999938964844,-0.07,0.06,0.88,
Mon Oct 13 12:40:51 GMT-05:00 2025,13-oct-2025 12:40:52.451,-74.08538052812219,4.632818950340152,0.6839999732971194,3.5,2568.0,301.3999938964844,-0.07,0.06,0.87,
Mon Oct 13 12:40:52 GMT-05:00 2025,13-oct-2025 12:40:53.452,-74.0853797737509,4.632823308929801,1.47599994802475,3.5,2568.0,301.3999938964844,-0.08,0.04,0.89,
Mon Oct 13 12:40:53 GMT-05:00 2025,13-oct-2025 12:40:54.451,-74.08538438379765,4.632829218171537,3.7799997282028244,3.5,2567.0,301.3999938964844,-0.05,0.0,0.9,
Mon Oct 13 12:40:54 GMT-05:00 2025,13-oct-2025 12:40:55.452,-74.08538790419698,4.632834959775209,2.6279997844696084,3.5,2567.0,301.3999938964844,-0.03,-0.02,0.89,
Mon Oct 13 12:40:55 GMT-05:00 2025,13-oct-2025 12:40:56.453,-74.08538614399731,4.632833870127797,0.0,3.5,2567.0,0.0,-0.06,0.03,0.88,
Mon Oct 13 12:40:56 GMT-05:00 2025,13-oct-2025 12:40:57.453,-74.08538614399731,4.632833702489734,1.2239999804496762,3.5,2567.0,301.3999938964844,-0.06,0.03,0.9,
Mon Oct 13 12:40:57 GMT-05:00 2025,13-oct-2025 12:40:58.454,-74.08538673073053,4.632833828218281,0.0,3.5,2567.0,0.0,-0.06,0.03,0.88,
Mon Oct 13 12:40:58 GMT-05:00 2025,13-oct-2025 12:40:59.453,-74.0853919275105,4.632833702489734,1.5839999494552615,3.5,2567.0,301.3999938964844,-0.06,0.03,0.88,
Mon Oct 13 12:40:59 GMT-05:00 2025,13-oct-2025 12:41:00.454,-74.0853916760534,4.6328337443992496,0.0,3.5,2567.0,0.0,-0.06,0.03,0.89,
Mon Oct 13 12:41:00 GMT-05:00 2025,13-oct-2025 12:41:01.454,-74.0853916760534,4.6328337443992496,0.0,3.5,2567.0,0.0,-0.06,0.04,0.9,
Mon Oct 13 12:41:01 GMT-05:00 2025,13-oct-2025 12:41:02.456,-74.0853916760534,4.6328337443992496,0.0,3.5,2567.0,0.0,-0.06,0.04,0.89,
Mon Oct 13 12:41:02 GMT-05:00 2025,13-oct-2025 12:41:03.456,-74.0853916760534,4.6328337443992496,0.0,3.5,2567.0,0.0,-0.06,0.03,0.88,
Mon Oct 13 12:41:03 GMT-05:00 2025,13-oct-2025 12:41:04.456,-74.0853916760534,4.6328337443992496,0.0,3.5,2567.0,0.0,-0.08,0.07,0.9,
Mon Oct 13 12:41:04 GMT-05:00 2025,13-oct-2025 12:41:05.456,-74.08539444208145,4.632835546508431,0.7559999563694006,3.5,2566.0,301.3999938964844,-0.11,0.12,0.88,
Mon Oct 13 12:41:05 GMT-05:00 2025,13-oct-2025 12:41:06.456,-74.08540106378496,4.632838983088732,3.203999863624574,3.5,2566.0,301.3999938964844,-0.07,0.03,0.9,
Mon Oct 13 12:41:06 GMT-05:00 2025,13-oct-2025 12:41:07.457,-74.08541078679264,4.632845520973206,5.975999721527103,3.5,2566.0,301.3999938964844,-0.06,0.03,0.87,
Mon Oct 13 12:41:07 GMT-05:00 2025,13-oct-2025 12:41:08.462,-74.08542520366609,4.632852268405259,6.119999580383308,3.5,2566.0,297.8999938964844,-0.08,0.09,0.88,
Mon Oct 13 12:41:08 GMT-05:00 2025,13-oct-2025 12:41:09.459,-74.08544037491083,4.632862242870033,7.775999244689956,3.5,2566.0,297.70001220703125,-0.05,0.03,0.89,
Mon Oct 13 12:41:09 GMT-05:00 2025,13-oct-2025 12:41:10.461,-74.08545940183103,4.632870918139815,8.351999538421637,3.5,2566.0,295.0,-0.06,0.03,0.89,
Mon Oct 13 12:41:10 GMT-05:00 2025,13-oct-2025 12:41:11.462,-74.08547557890415,4.632881102152169,6.083999615669256,3.5,2566.0,297.29998779296875,-0.05,0.02,0.9,
Mon Oct 13 12:41:11 GMT-05:00 2025,13-oct-2025 12:41:12.463,-74.0854918397963,4.632890531793237,6.515999621391302,3.5,2565.0,294.8999938964844,-0.05,0.06,0.89,
Mon Oct 13 12:41:12 GMT-05:00 2025,13-oct-2025 12:41:13.462,-74.08550701104105,4.632896273396909,6.479999656677251,3.5,2565.0,294.29998779296875,-0.06,0.04,0.9,
Mon Oct 13 12:41:13 GMT-05:00 2025,13-oct-2025 12:41:14.462,-74.08552519977093,4.632906457409263,8.171999714851381,3.5,2565.0,294.70001220703125,-0.05,0.01,0.89,
Mon Oct 13 12:41:14 GMT-05:00 2025,13-oct-2025 12:41:15.465,-74.0855441428721,4.632917353883386,9.323999444007882,3.5,2565.0,291.20001220703125,-0.07,0.01,0.89,
Mon Oct 13 12:41:15 GMT-05:00 2025,13-oct-2025 12:41:16.463,-74.08556249924004,4.632926951162517,8.891999867439267,3.5,2565.0,290.8999938964844,-0.06,0.03,0.9,
Mon Oct 13 12:41:16 GMT-05:00 2025,13-oct-2025 12:41:17.462,-74.08558144234121,4.632932567037642,8.387999503135688,3.5,2565.0,290.3999938964844,-0.07,0.03,0.88,
Mon Oct 13 12:41:17 GMT-05:00 2025,13-oct-2025 12:41:18.464,-74.08560080453753,4.632940697483718,8.063999820709228,3.5,2565.0,293.5,-0.08,0.05,0.89,
Mon Oct 13 12:41:18 GMT-05:00 2025,13-oct-2025 12:41:19.464,-74.08561958000064,4.632955281995237,9.79199984359741,3.5,2564.0,298.0,-0.05,0.0,0.89,
Mon Oct 13 12:41:19 GMT-05:00 2025,13-oct-2025 12:41:20.465,-74.0856403671205,4.632964627817273,8.207999679565432,3.5,2564.0,297.8999938964844,-0.06,0.01,0.9,
Mon Oct 13 12:41:20 GMT-05:00 2025,13-oct-2025 12:41:21.465,-74.0856609866023,4.632975230924785,8.13599975013733,4.0,2564.0,296.5,-0.07,0.04,0.89,
Mon Oct 13 12:41:21 GMT-05:00 2025,13-oct-2025 12:41:22.466,-74.08568747341633,4.632986923679709,8.71199918556215,3.5,2563.0,295.70001220703125,-0.07,0.03,0.88,
Mon Oct 13 12:41:22 GMT-05:00 2025,13-oct-2025 12:41:23.465,-74.08571639098227,4.632998909801245,8.531999361991893,3.5,2563.0,294.6000061035156,-0.05,-0.01,0.89,
