GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Sat Aug 03 15:03:26 GMT-05:00 2024,03-ago-2024 15:03:26.714,-74.10701790824533,4.6079884422943,30.527997543335005,4.0,2581.0,130.3000030517578,-0.06,0.14,0.89,
Sat Aug 03 15:03:27 GMT-05:00 2024,03-ago-2024 15:03:27.715,-74.10695722326636,4.607939659617841,29.339997849464453,3.5,2581.0,129.10000610351562,0.0,-0.05,0.89,
Sat Aug 03 15:03:28 GMT-05:00 2024,03-ago-2024 15:03:28.716,-74.10690416581929,4.607893726788461,26.38799902629853,3.5,2580.0,131.60000610351562,0.02,-0.02,0.89,
Sat Aug 03 15:03:29 GMT-05:00 2024,03-ago-2024 15:03:29.715,-74.10685127601027,4.607848632149398,24.875998791694656,3.5,2581.0,129.8000030517578,-0.01,-0.05,0.88,
Sat Aug 03 15:03:30 GMT-05:00 2024,03-ago-2024 15:03:30.716,-74.10679863765836,4.607809237204492,25.379998297691372,3.5,2580.0,127.30000305175781,0.0,0.0,0.9,
Sat Aug 03 15:03:31 GMT-05:00 2024,03-ago-2024 15:03:31.716,-74.10675203427672,4.607770135626197,22.787999121665962,4.0,2580.0,126.80000305175781,0.02,0.02,0.89,
Sat Aug 03 15:03:32 GMT-05:00 2024,03-ago-2024 15:03:32.717,-74.10670693963766,4.6077322494238615,21.671999357223513,4.0,2580.0,126.0999984741211,0.01,0.03,0.9,
Sat Aug 03 15:03:33 GMT-05:00 2024,03-ago-2024 15:03:33.720,-74.10667307674885,4.6076977998018265,20.447998840332048,4.5,2580.0,129.10000610351562,0.0,0.04,0.89,
Sat Aug 03 15:03:34 GMT-05:00 2024,03-ago-2024 15:03:34.718,-74.10661960020661,4.6076654037460685,22.931998980522167,4.5,2579.0,128.5,-0.01,0.06,0.9,
Sat Aug 03 15:03:35 GMT-05:00 2024,03-ago-2024 15:03:35.717,-74.10656067542732,4.6076259249821305,25.379998297691372,4.5,2580.0,127.9000015258789,0.03,0.04,0.89,
Sat Aug 03 15:03:36 GMT-05:00 2024,03-ago-2024 15:03:36.719,-74.1065048519522,4.6075885416939855,25.343999191284183,5.0,2580.0,125.4000015258789,0.01,0.01,0.88,
Sat Aug 03 15:03:37 GMT-05:00 2024,03-ago-2024 15:03:37.718,-74.10644550807774,4.607544830068946,27.395998038291964,5.0,2579.0,126.69999694824219,0.0,0.05,0.88,
Sat Aug 03 15:03:38 GMT-05:00 2024,03-ago-2024 15:03:38.719,-74.1063835658133,4.6075066504999995,28.727999307632444,5.0,2579.0,129.1999969482422,-0.03,0.1,0.89,
Sat Aug 03 15:03:39 GMT-05:00 2024,03-ago-2024 15:03:39.720,-74.10633000545204,4.607450659386814,29.663998390197776,5.0,2579.0,131.5,-0.03,0.1,0.89,
Sat Aug 03 15:03:40 GMT-05:00 2024,03-ago-2024 15:03:40.727,-74.10625783726573,4.607395590282977,34.055999235153195,4.5,2579.0,131.0,0.01,0.02,0.9,
Sat Aug 03 15:03:41 GMT-05:00 2024,03-ago-2024 15:03:41.720,-74.10617946647108,4.6073349472135305,34.37999977588652,4.5,2579.0,131.60000610351562,0.01,0.0,0.9,
Sat Aug 03 15:03:42 GMT-05:00 2024,03-ago-2024 15:03:42.724,-74.10611039958894,4.607272879220545,33.263998294830344,4.5,2579.0,130.1999969482422,-0.01,0.01,0.9,
Sat Aug 03 15:03:43 GMT-05:00 2024,03-ago-2024 15:03:43.722,-74.10605357028544,4.6072201151400805,32.65199803638461,4.0,2579.0,132.0,-0.04,0.05,0.89,
Sat Aug 03 15:03:44 GMT-05:00 2024,03-ago-2024 15:03:44.720,-74.10598944872618,4.607166429050267,34.66799949359893,4.0,2579.0,131.10000610351562,-0.04,0.05,0.87,
Sat Aug 03 15:03:45 GMT-05:00 2024,03-ago-2024 15:03:45.721,-74.10592205822468,4.6071037743240595,36.323999587059006,4.0,2579.0,130.3000030517578,-0.03,0.06,0.89,
Sat Aug 03 15:03:46 GMT-05:00 2024,03-ago-2024 15:03:46.720,-74.10584947094321,4.607040490955114,38.6639981517792,4.0,2579.0,130.10000610351562,-0.04,0.06,0.89,
Sat Aug 03 15:03:47 GMT-05:00 2024,03-ago-2024 15:03:47.721,-74.1057738661766,4.606975112110376,40.42799728107457,4.5,2579.0,131.10000610351562,-0.01,0.07,0.88,
Sat Aug 03 15:03:48 GMT-05:00 2024,03-ago-2024 15:03:49.723,-74.10570136271417,4.606908475980163,42.58799859714509,4.5,2580.0,130.8000030517578,0.0,0.03,0.86,
