GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Mon Jul 29 11:10:14 GMT-05:00 2024,29-jul-2024 11:10:15.133,-74.09334090538323,4.625811637379229,26.71199785041813,2.5,2580.0,88.5,0.19,0.82,0.41,
Mon Jul 29 11:10:15 GMT-05:00 2024,29-jul-2024 11:10:16.131,-74.09327326342463,4.625812894664705,25.127999402999876,2.5,2580.0,86.0,0.12,0.77,0.49,
Mon Jul 29 11:10:16 GMT-05:00 2024,29-jul-2024 11:10:17.132,-74.09320939332247,4.625814403407276,24.65999900341035,2.5,2581.0,88.5999984741211,0.04,0.72,0.54,
Mon Jul 29 11:10:17 GMT-05:00 2024,29-jul-2024 11:10:18.133,-74.0931487083435,4.625815157778561,23.219998698234576,2.0,2581.0,88.80000305175781,0.06,0.79,0.57,
Mon Jul 29 11:10:18 GMT-05:00 2024,29-jul-2024 11:10:19.134,-74.09308601170778,4.625814319588244,26.567997991561924,2.5,2581.0,88.69999694824219,-0.02,0.75,0.5,
Mon Jul 29 11:10:19 GMT-05:00 2024,29-jul-2024 11:10:20.133,-74.09301619045436,4.625813397578895,28.33199883747102,2.5,2581.0,90.19999694824219,0.08,0.76,0.56,
Mon Jul 29 11:10:20 GMT-05:00 2024,29-jul-2024 11:10:21.133,-74.09295148216188,4.625810254365206,26.891998532295247,2.0,2581.0,91.30000305175781,-0.07,0.81,0.44,
Mon Jul 29 11:10:21 GMT-05:00 2024,29-jul-2024 11:10:22.133,-74.09287822432816,4.625807655975223,29.195997990608248,2.0,2582.0,92.0,0.08,0.81,0.45,
Mon Jul 29 11:10:22 GMT-05:00 2024,29-jul-2024 11:10:23.133,-74.09280287101865,4.625801830552518,30.31199947166442,2.0,2582.0,93.4000015258789,0.3,0.79,0.39,
Mon Jul 29 11:10:23 GMT-05:00 2024,29-jul-2024 11:10:24.132,-74.09273019991815,4.6257944125682116,29.51999853134157,2.0,2583.0,95.80000305175781,0.14,0.78,0.5,
Mon Jul 29 11:10:24 GMT-05:00 2024,29-jul-2024 11:10:25.133,-74.09265819936991,4.625787162221968,28.763998414039634,2.0,2583.0,95.30000305175781,0.14,0.83,0.42,
Mon Jul 29 11:10:25 GMT-05:00 2024,29-jul-2024 11:10:26.133,-74.09258888103068,4.6257779421284795,29.951998107910185,2.0,2584.0,94.4000015258789,0.29,0.86,0.28,
Mon Jul 29 11:10:26 GMT-05:00 2024,29-jul-2024 11:10:27.133,-74.09250942058861,4.62577966041863,34.77599852943422,2.0,2584.0,82.9000015258789,0.24,0.87,0.33,
Mon Jul 29 11:10:27 GMT-05:00 2024,29-jul-2024 11:10:28.135,-74.09243021160364,4.62578137870878,32.292000105857824,2.5,2583.0,86.80000305175781,-0.11,0.67,0.58,
Mon Jul 29 11:10:28 GMT-05:00 2024,29-jul-2024 11:10:29.135,-74.09235192462802,4.6257758885622025,31.103996978759824,2.5,2583.0,94.5999984741211,0.02,0.79,0.48,
Mon Jul 29 11:10:29 GMT-05:00 2024,29-jul-2024 11:10:30.134,-74.09227766096592,4.625762393698096,31.06799958896636,2.5,2582.0,97.0999984741211,0.01,0.75,0.52,
Mon Jul 29 11:10:30 GMT-05:00 2024,29-jul-2024 11:10:31.135,-74.09219769760966,4.625748228281736,32.183997636795084,2.5,2582.0,96.5999984741211,0.02,0.71,0.57,
Mon Jul 29 11:10:31 GMT-05:00 2024,29-jul-2024 11:10:32.135,-74.09212133847177,4.625737373717129,30.09599796676639,2.0,2582.0,95.80000305175781,-0.02,0.7,0.58,
Mon Jul 29 11:10:32 GMT-05:00 2024,29-jul-2024 11:10:33.135,-74.09205436706543,4.625727776437998,25.991998556137105,2.0,2582.0,95.0,0.04,0.68,0.59,
Mon Jul 29 11:10:33 GMT-05:00 2024,29-jul-2024 11:10:34.137,-74.09199678339064,4.625719520263374,21.563998604774497,2.0,2583.0,95.0,0.08,0.76,0.45,
Mon Jul 29 11:10:34 GMT-05:00 2024,29-jul-2024 11:10:35.136,-74.09195168875158,4.625716041773558,17.92799959373474,2.0,2583.0,90.5999984741211,0.19,0.04,0.93,
Mon Jul 29 11:10:35 GMT-05:00 2024,29-jul-2024 11:10:36.137,-74.09190433099866,4.625714533030987,18.143999382019047,2.0,2583.0,91.19999694824219,-0.43,0.02,0.81,
Mon Jul 29 11:10:36 GMT-05:00 2024,29-jul-2024 11:10:37.138,-74.09186753444374,4.625712730921805,15.44399945354462,2.5,2582.0,94.4000015258789,-0.19,0.01,0.88,
Mon Jul 29 11:10:37 GMT-05:00 2024,29-jul-2024 11:10:38.140,-74.09183224663138,4.625714742578566,13.571999571800234,2.5,2582.0,93.0,-0.17,0.0,0.88,
Mon Jul 29 11:10:38 GMT-05:00 2024,29-jul-2024 11:10:39.142,-74.09180433489382,4.6257134433835745,11.339999184608473,3.0,2581.0,92.0999984741211,-0.18,0.01,0.88,
Mon Jul 29 11:10:39 GMT-05:00 2024,29-jul-2024 11:10:40.140,-74.09177524968982,4.625709671527147,11.987999407768257,3.5,2581.0,95.30000305175781,-0.18,0.01,0.89,
Mon Jul 29 11:10:40 GMT-05:00 2024,29-jul-2024 11:10:41.141,-74.09174390137196,4.625704139471054,12.959999313354501,3.5,2581.0,95.5,-0.15,0.0,0.85,
Mon Jul 29 11:10:41 GMT-05:00 2024,29-jul-2024 11:10:42.141,-74.0917120501399,4.6257004933431745,12.707999560356143,3.5,2581.0,96.30000305175781,-0.17,-0.01,0.87,
Mon Jul 29 11:10:42 GMT-05:00 2024,29-jul-2024 11:10:43.140,-74.0916795283556,4.625695841386914,12.527999736785887,3.5,2581.0,95.9000015258789,-0.19,0.0,0.87,
Mon Jul 29 11:10:43 GMT-05:00 2024,29-jul-2024 11:10:44.142,-74.09164776094258,4.625690435059369,11.699999690055847,3.5,2580.0,97.19999694824219,-0.21,0.0,0.86,
Mon Jul 29 11:10:44 GMT-05:00 2024,29-jul-2024 11:10:45.142,-74.09161800518632,4.625684525817633,10.799999713897705,3.5,2580.0,96.19999694824219,-0.25,0.0,0.87,
Mon Jul 29 11:10:45 GMT-05:00 2024,29-jul-2024 11:10:46.141,-74.09159637987614,4.625680251047015,6.299999833106995,3.5,2580.0,98.0,-0.21,0.0,0.86,
Mon Jul 29 11:10:46 GMT-05:00 2024,29-jul-2024 11:10:47.142,-74.09158707596362,4.62567534763366,3.167999898910523,3.5,2580.0,99.30000305175781,-0.22,0.0,0.86,
Mon Jul 29 11:10:47 GMT-05:00 2024,29-jul-2024 11:10:48.141,-74.0915796160698,4.6256724977865815,3.419999866485597,3.5,2579.0,95.4000015258789,-0.19,0.0,0.88,
Mon Jul 29 11:10:48 GMT-05:00 2024,29-jul-2024 11:10:49.143,-74.09157416783273,4.625669941306114,1.1879999084472672,3.5,2579.0,94.80000305175781,-0.15,0.0,0.87,
Mon Jul 29 11:10:49 GMT-05:00 2024,29-jul-2024 11:10:50.141,-74.09156947396696,4.6256683906540275,2.267999922752381,3.5,2579.0,92.30000305175781,-0.15,0.0,0.88,
Mon Jul 29 11:10:50 GMT-05:00 2024,29-jul-2024 11:10:51.140,-74.09156159497797,4.625666881911457,2.8799997520446823,3.5,2579.0,100.9000015258789,-0.15,0.0,0.88,
Mon Jul 29 11:10:51 GMT-05:00 2024,29-jul-2024 11:10:52.142,-74.09155430272222,4.625665750354528,0.0,4.0,2579.0,0.0,-0.18,0.01,0.88,
Mon Jul 29 11:10:52 GMT-05:00 2024,29-jul-2024 11:10:53.143,-74.09155430272222,4.625665750354528,0.0,4.0,2579.0,0.0,-0.16,0.0,0.87,
Mon Jul 29 11:10:53 GMT-05:00 2024,29-jul-2024 11:10:54.143,-74.09155430272222,4.625665750354528,0.0,4.0,2579.0,0.0,-0.14,0.0,0.87,
Mon Jul 29 11:10:54 GMT-05:00 2024,29-jul-2024 11:10:55.144,-74.0915513690561,4.625664032064378,1.3679999465942387,4.0,2579.0,102.0999984741211,-0.14,0.0,0.88,
Mon Jul 29 11:10:55 GMT-05:00 2024,29-jul-2024 11:10:56.143,-74.0915518719703,4.6256624814122915,0.3599999690055853,3.5,2579.0,102.0999984741211,-0.12,0.01,0.88,
Mon Jul 29 11:10:56 GMT-05:00 2024,29-jul-2024 11:10:57.144,-74.09155011177063,4.6256616013124585,0.3599999690055853,4.0,2578.0,102.0999984741211,-0.52,0.21,0.81,
Mon Jul 29 11:10:57 GMT-05:00 2024,29-jul-2024 11:10:58.143,-74.09155094996095,4.625661852769554,0.0,3.5,2578.0,0.0,-0.62,-0.46,0.42,
Mon Jul 29 11:10:58 GMT-05:00 2024,29-jul-2024 11:10:59.142,-74.09154717810452,4.625663445331156,2.3759998168945344,3.5,2578.0,102.0999984741211,0.28,0.18,0.81,
Mon Jul 29 11:10:59 GMT-05:00 2024,29-jul-2024 11:11:00.143,-74.09153703600168,4.625671869143844,2.1959999933242784,3.5,2578.0,102.0999984741211,0.06,-0.44,0.7,
Mon Jul 29 11:11:00 GMT-05:00 2024,29-jul-2024 11:11:01.142,-74.09152949228883,4.625673796981573,1.8359999170303354,3.5,2578.0,102.0999984741211,0.45,0.0,0.79,
Mon Jul 29 11:11:01 GMT-05:00 2024,29-jul-2024 11:11:02.143,-74.09152639098465,4.625677443109453,1.47599994802475,3.5,2578.0,102.0999984741211,0.25,-0.01,0.86,
Mon Jul 29 11:11:02 GMT-05:00 2024,29-jul-2024 11:11:03.142,-74.0915310010314,4.625678658485413,3.6719998340606708,4.0,2578.0,102.0999984741211,0.16,-0.01,0.87,
Mon Jul 29 11:11:03 GMT-05:00 2024,29-jul-2024 11:11:04.143,-74.09153913147748,4.625677568838,0.39599998736381536,4.0,2578.0,102.0999984741211,0.14,-0.01,0.88,
Mon Jul 29 11:11:04 GMT-05:00 2024,29-jul-2024 11:11:05.143,-74.09153820946813,4.625675766728818,1.9079998464584378,4.5,2578.0,102.0999984741211,0.14,-0.02,0.88,
Mon Jul 29 11:11:05 GMT-05:00 2024,29-jul-2024 11:11:06.143,-74.09153913147748,4.625677485018969,0.215999989449978,4.0,2577.0,102.0999984741211,0.14,-0.01,0.88,
Mon Jul 29 11:11:06 GMT-05:00 2024,29-jul-2024 11:11:07.143,-74.09154164604843,4.625679412856698,0.6839999732971194,4.0,2577.0,102.0999984741211,0.14,-0.01,0.88,
Mon Jul 29 11:11:07 GMT-05:00 2024,29-jul-2024 11:11:08.143,-74.09154742956161,4.625681298784912,3.0239998254776026,4.5,2577.0,102.0999984741211,0.14,-0.01,0.88,
Mon Jul 29 11:11:08 GMT-05:00 2024,29-jul-2024 11:11:09.144,-74.09155488945544,4.625682723708451,2.80799982261658,4.5,2577.0,102.0999984741211,0.14,-0.01,0.88,
Mon Jul 29 11:11:09 GMT-05:00 2024,29-jul-2024 11:11:10.145,-74.09156184643507,4.625683352351189,0.17999998450279264,4.5,2577.0,102.0999984741211,0.14,-0.01,0.87,
Mon Jul 29 11:11:10 GMT-05:00 2024,29-jul-2024 11:11:11.145,-74.09156226553023,4.625683184713125,0.035999998241663,4.5,2577.0,102.0999984741211,0.14,-0.01,0.87,
Mon Jul 29 11:11:11 GMT-05:00 2024,29-jul-2024 11:11:12.146,-74.09156251698732,4.6256831008940935,0.035999998241663,4.0,2577.0,102.0999984741211,0.14,-0.02,0.88,
Mon Jul 29 11:11:12 GMT-05:00 2024,29-jul-2024 11:11:13.147,-74.09156268462539,4.625683058984578,0.0,4.0,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:13 GMT-05:00 2024,29-jul-2024 11:11:14.148,-74.09156268462539,4.625683058984578,0.0,4.0,2577.0,0.0,0.14,-0.01,0.87,
Mon Jul 29 11:11:14 GMT-05:00 2024,29-jul-2024 11:11:15.149,-74.09156268462539,4.625683058984578,0.0,4.0,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:15 GMT-05:00 2024,29-jul-2024 11:11:16.150,-74.09156268462539,4.625683058984578,0.0,4.0,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:16 GMT-05:00 2024,29-jul-2024 11:11:17.151,-74.09156268462539,4.625683058984578,0.0,4.0,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:17 GMT-05:00 2024,29-jul-2024 11:11:18.151,-74.09156268462539,4.625683058984578,0.0,4.0,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:18 GMT-05:00 2024,29-jul-2024 11:11:19.151,-74.09156268462539,4.625683058984578,0.0,3.5,2577.0,0.0,0.14,-0.01,0.87,
Mon Jul 29 11:11:19 GMT-05:00 2024,29-jul-2024 11:11:20.151,-74.09156268462539,4.625683058984578,0.0,3.5,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:20 GMT-05:00 2024,29-jul-2024 11:11:21.151,-74.09156268462539,4.625683058984578,0.0,3.5,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:21 GMT-05:00 2024,29-jul-2024 11:11:22.151,-74.09156268462539,4.625683058984578,0.0,3.5,2577.0,0.0,0.14,-0.01,0.87,
Mon Jul 29 11:11:22 GMT-05:00 2024,29-jul-2024 11:11:23.151,-74.09156268462539,4.625683058984578,0.0,3.5,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:23 GMT-05:00 2024,29-jul-2024 11:11:24.151,-74.09156268462539,4.625683058984578,0.0,3.5,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:24 GMT-05:00 2024,29-jul-2024 11:11:25.153,-74.09156268462539,4.625683058984578,0.0,3.5,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:25 GMT-05:00 2024,29-jul-2024 11:11:26.152,-74.09156268462539,4.625683058984578,0.0,3.0,2577.0,0.0,0.14,-0.01,0.87,
Mon Jul 29 11:11:26 GMT-05:00 2024,29-jul-2024 11:11:27.153,-74.09156268462539,4.625683058984578,0.0,3.0,2577.0,0.0,0.14,-0.01,0.88,
Mon Jul 29 11:11:27 GMT-05:00 2024,29-jul-2024 11:11:28.153,-74.09156268462539,4.625683058984578,0.0,3.0,2577.0,0.0,0.14,-0.01,0.88,
