GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Fri Dec 27 21:12:46 GMT-05:00 2024,27-dic-2024 21:12:47.181,-74.13957347162068,4.57309206482023,29.41199949550628,2.5,2561.0,165.8000030517578,0.17,0.92,0.16,
Fri Dec 27 21:12:47 GMT-05:00 2024,27-dic-2024 21:12:48.179,-74.13955972529948,4.57301557995379,31.67999984741209,2.5,2561.0,166.89999389648438,0.17,0.92,0.16,
Fri Dec 27 21:12:48 GMT-05:00 2024,27-dic-2024 21:12:49.179,-74.13954195566475,4.5729328924790025,34.70399688339239,2.5,2560.0,167.1999969482422,0.17,0.92,0.16,
Fri Dec 27 21:12:49 GMT-05:00 2024,27-dic-2024 21:12:50.178,-74.13951974362135,4.57284530159086,36.395997799873385,2.5,2560.0,167.3000030517578,0.15,0.85,0.29,
Fri Dec 27 21:12:50 GMT-05:00 2024,27-dic-2024 21:12:51.179,-74.13949870504439,4.572761231102049,32.50799817752841,2.5,2560.0,167.89999389648438,0.19,0.89,0.28,
Fri Dec 27 21:12:51 GMT-05:00 2024,27-dic-2024 21:12:52.180,-74.13948026485741,4.572683488950133,31.9679995651245,2.5,2560.0,169.39999389648438,0.16,0.91,0.18,
Fri Dec 27 21:12:52 GMT-05:00 2024,27-dic-2024 21:12:53.179,-74.13946107029915,4.572605453431606,32.03999777793888,2.5,2560.0,168.1999969482422,0.18,0.94,0.17,
Fri Dec 27 21:12:53 GMT-05:00 2024,27-dic-2024 21:12:54.180,-74.13944363594055,4.572522221133113,36.75599916362762,2.5,2560.0,168.39999389648438,0.16,0.93,0.2,
Fri Dec 27 21:12:54 GMT-05:00 2024,27-dic-2024 21:12:55.179,-74.1394186578691,4.572430397383869,38.59199650573737,2.5,2559.0,168.6999969482422,0.2,0.86,0.37,
Fri Dec 27 21:12:55 GMT-05:00 2024,27-dic-2024 21:12:56.180,-74.13940005004406,4.57233568187803,36.75599916362762,2.5,2559.0,168.1999969482422,0.17,0.88,0.33,
