GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Mon Nov 11 13:38:46 GMT-05:00 2024,11-nov-2024 13:38:56.007,-73.74796190299094,4.197879228740931,43.2719970684052,19.0,938.0,245.3000030517578,0.02,0.92,0.23,
Mon Nov 11 13:40:40 GMT-05:00 2024,11-nov-2024 13:40:41.029,-73.76080398447812,4.197101555764675,47.915996808052114,8.0,950.0,246.8000030517578,0.05,0.91,0.22,
Mon Nov 11 13:40:41 GMT-05:00 2024,11-nov-2024 13:40:42.029,-73.7609115242958,4.197060987353325,45.07199702072148,5.5,950.0,250.3000030517578,0.05,0.91,0.22,
Mon Nov 11 13:40:42 GMT-05:00 2024,11-nov-2024 13:40:43.030,-73.76103155314922,4.197022011503577,51.155998782157894,4.5,953.0,253.89999389648438,0.05,0.91,0.2,
Mon Nov 11 13:40:43 GMT-05:00 2024,11-nov-2024 13:40:44.031,-73.7611554376781,4.19698819052428,52.77599805259706,3.5,954.0,256.70001220703125,0.05,0.93,0.2,
Mon Nov 11 13:40:44 GMT-05:00 2024,11-nov-2024 13:40:45.032,-73.76129449345171,4.19695571064949,53.56799899291991,3.5,955.0,257.79998779296875,0.07,0.93,0.22,
Mon Nov 11 13:40:45 GMT-05:00 2024,11-nov-2024 13:40:46.032,-73.76143170520663,4.196931486949325,56.1599964523316,3.0,956.0,260.3999938964844,0.07,0.92,0.29,
Mon Nov 11 13:40:46 GMT-05:00 2024,11-nov-2024 13:40:47.033,-73.76157176680863,4.196912543848157,56.1599964523316,3.0,957.0,263.8999938964844,0.07,0.92,0.27,
Mon Nov 11 13:40:47 GMT-05:00 2024,11-nov-2024 13:40:48.031,-73.76171073876321,4.19690219219774,53.999998569488525,2.5,959.0,268.20001220703125,0.06,0.93,0.26,
Mon Nov 11 13:40:48 GMT-05:00 2024,11-nov-2024 13:40:49.032,-73.76184526830912,4.196905083954334,52.48799833488465,2.5,959.0,271.79998779296875,0.04,0.92,0.27,
Mon Nov 11 13:40:49 GMT-05:00 2024,11-nov-2024 13:40:50.034,-73.76197342760861,4.196912795305252,51.08399713611607,2.5,961.0,276.3999938964844,0.04,0.86,0.26,
Mon Nov 11 13:40:50 GMT-05:00 2024,11-nov-2024 13:40:51.034,-73.76209622249007,4.19692465569824,50.11199894714355,2.5,962.0,276.3999938964844,0.04,0.97,0.26,
Mon Nov 11 13:40:51 GMT-05:00 2024,11-nov-2024 13:40:52.035,-73.76221784390509,4.19693810865283,49.57199690151219,2.5,964.0,277.3999938964844,0.04,0.93,0.24,
Mon Nov 11 13:40:52 GMT-05:00 2024,11-nov-2024 13:40:53.034,-73.76234172843397,4.1969568422064185,48.85199760723117,2.5,964.0,278.3999938964844,0.03,0.92,0.25,
Mon Nov 11 13:40:53 GMT-05:00 2024,11-nov-2024 13:40:54.035,-73.76246050000191,4.196976665407419,49.24799636077887,2.5,965.0,279.3999938964844,0.05,0.91,0.23,
Mon Nov 11 13:40:54 GMT-05:00 2024,11-nov-2024 13:40:55.034,-73.76258145086467,4.196996949613094,48.88799843025208,2.5,966.0,278.79998779296875,0.06,0.95,0.25,
Mon Nov 11 13:40:55 GMT-05:00 2024,11-nov-2024 13:40:56.034,-73.76270189881325,4.197016102261841,48.77999596118934,2.5,967.0,278.5,0.05,0.92,0.25,
Mon Nov 11 13:40:56 GMT-05:00 2024,11-nov-2024 13:40:57.034,-73.76281782053411,4.197040116414428,48.131998312950145,2.5,967.0,281.0,0.05,0.92,0.22,
Mon Nov 11 13:40:57 GMT-05:00 2024,11-nov-2024 13:40:58.035,-73.76293575391173,4.197065094485879,48.707997748374964,2.5,966.0,281.0,0.04,0.92,0.23,
Mon Nov 11 13:40:58 GMT-05:00 2024,11-nov-2024 13:40:59.037,-73.76305620186031,4.197088228538632,49.03199828910829,2.5,966.0,281.3999938964844,0.05,0.91,0.29,
Mon Nov 11 13:40:59 GMT-05:00 2024,11-nov-2024 13:41:00.036,-73.76317648217082,4.197110189124942,48.59999871253967,2.5,966.0,280.29998779296875,0.04,0.92,0.29,
Mon Nov 11 13:41:00 GMT-05:00 2024,11-nov-2024 13:41:01.038,-73.76329542137682,4.197130515240133,47.15999669075018,2.5,967.0,279.5,0.03,0.91,0.27,
Mon Nov 11 13:41:01 GMT-05:00 2024,11-nov-2024 13:41:02.039,-73.76340832561255,4.197149709798396,44.96399798488619,2.5,968.0,278.8999938964844,0.05,0.94,0.23,
Mon Nov 11 13:41:02 GMT-05:00 2024,11-nov-2024 13:41:03.039,-73.76351938582957,4.197168359532952,45.14399866676331,2.5,969.0,279.6000061035156,0.03,0.91,0.24,
Mon Nov 11 13:41:03 GMT-05:00 2024,11-nov-2024 13:41:04.039,-73.7636301945895,4.197186506353319,45.287998525619514,2.5,969.0,279.5,0.05,0.9,0.27,
Mon Nov 11 13:41:04 GMT-05:00 2024,11-nov-2024 13:41:05.038,-73.76374167390168,4.197204443626106,45.17999948978422,2.5,969.0,279.6000061035156,0.07,0.87,0.38,
Mon Nov 11 13:41:05 GMT-05:00 2024,11-nov-2024 13:41:06.038,-73.76385399140418,4.197222967632115,44.74799647998816,2.5,970.0,279.0,0.07,0.9,0.28,
Mon Nov 11 13:41:06 GMT-05:00 2024,11-nov-2024 13:41:07.040,-73.76395490951836,4.197238809429109,37.51199928092956,2.5,971.0,279.20001220703125,0.05,0.91,0.24,
Mon Nov 11 13:41:07 GMT-05:00 2024,11-nov-2024 13:41:08.039,-73.76404476352036,4.197253477759659,36.25199794101718,2.5,972.0,278.6000061035156,0.05,0.95,0.2,
Mon Nov 11 13:41:08 GMT-05:00 2024,11-nov-2024 13:41:09.038,-73.76413084566593,4.197271540760994,35.891996577262944,2.5,972.0,280.3999938964844,0.11,0.91,0.24,
Mon Nov 11 13:41:09 GMT-05:00 2024,11-nov-2024 13:41:10.040,-73.76421868801117,4.197292914614081,36.971997235298204,2.5,971.0,282.1000061035156,0.14,0.94,0.21,
Mon Nov 11 13:41:10 GMT-05:00 2024,11-nov-2024 13:41:11.041,-73.76430602744222,4.197311312891543,36.971997235298204,2.5,970.0,282.79998779296875,0.11,0.92,0.17,
Mon Nov 11 13:41:11 GMT-05:00 2024,11-nov-2024 13:41:12.041,-73.76439655199647,4.197328956797719,36.86399819946291,2.5,970.0,280.20001220703125,0.11,0.95,0.17,
Mon Nov 11 13:41:12 GMT-05:00 2024,11-nov-2024 13:41:13.040,-73.76449302770197,4.197343289852142,39.09599772834781,2.5,971.0,278.70001220703125,0.1,0.92,0.22,
Mon Nov 11 13:41:13 GMT-05:00 2024,11-nov-2024 13:41:14.041,-73.76459134742618,4.1973553178831935,40.13999756336216,2.5,971.0,276.1000061035156,0.09,0.91,0.23,
Mon Nov 11 13:41:14 GMT-05:00 2024,11-nov-2024 13:41:15.041,-73.76469159498811,4.197365962900221,40.42799728107457,2.5,972.0,277.20001220703125,0.09,0.94,0.22,
Mon Nov 11 13:41:15 GMT-05:00 2024,11-nov-2024 13:41:16.042,-73.76479611732066,4.197383103892207,42.58799859714509,2.5,972.0,278.8999938964844,0.09,0.93,0.18,
Mon Nov 11 13:41:16 GMT-05:00 2024,11-nov-2024 13:41:17.043,-73.76490223221481,4.197394838556647,41.50799793910983,2.5,972.0,275.3999938964844,0.08,0.92,0.18,
Mon Nov 11 13:41:17 GMT-05:00 2024,11-nov-2024 13:41:18.044,-73.76500826328993,4.197401124984026,43.055998996734616,2.5,973.0,272.5,0.1,0.95,0.2,
Mon Nov 11 13:41:18 GMT-05:00 2024,11-nov-2024 13:41:19.044,-73.76511789858341,4.19740523211658,43.81199911403655,2.5,973.0,273.1000061035156,0.1,0.94,0.2,
Mon Nov 11 13:41:19 GMT-05:00 2024,11-nov-2024 13:41:20.045,-73.76522946171463,4.19741059653461,44.27999951362608,2.5,974.0,272.29998779296875,0.11,0.94,0.2,
Mon Nov 11 13:41:20 GMT-05:00 2024,11-nov-2024 13:41:21.045,-73.76534395851195,4.197417553514242,46.40399657344824,2.5,976.0,273.1000061035156,0.06,0.92,0.19,
