GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Sun Dec 29 16:16:47 GMT-05:00 2024,29-dic-2024 16:16:48.565,-72.92494207620621,4.609294761903584,0.0,8.0,293.0,0.0,0.15,0.88,0.31,
Sun Dec 29 16:16:48 GMT-05:00 2024,29-dic-2024 16:16:49.577,-72.92494207620621,4.609294761903584,0.0,6.5,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:49 GMT-05:00 2024,29-dic-2024 16:16:50.572,-72.92494207620621,4.609294761903584,0.0,6.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:50 GMT-05:00 2024,29-dic-2024 16:16:51.571,-72.92494207620621,4.609294761903584,0.0,6.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:51 GMT-05:00 2024,29-dic-2024 16:16:52.571,-72.92494207620621,4.609294761903584,0.0,5.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:52 GMT-05:00 2024,29-dic-2024 16:16:53.571,-72.92494207620621,4.609294761903584,0.0,5.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:53 GMT-05:00 2024,29-dic-2024 16:16:54.570,-72.92494207620621,4.609294761903584,0.0,5.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:54 GMT-05:00 2024,29-dic-2024 16:16:55.570,-72.92494207620621,4.609294761903584,0.0,5.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:55 GMT-05:00 2024,29-dic-2024 16:16:56.570,-72.92494207620621,4.609294761903584,0.0,5.0,293.0,0.0,0.13,0.89,0.3,
Sun Dec 29 16:16:56 GMT-05:00 2024,29-dic-2024 16:16:57.571,-72.92494207620621,4.609294761903584,0.0,5.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:57 GMT-05:00 2024,29-dic-2024 16:16:58.573,-72.92494207620621,4.609294761903584,0.0,5.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:58 GMT-05:00 2024,29-dic-2024 16:16:59.571,-72.92494207620621,4.609294761903584,0.0,5.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:16:59 GMT-05:00 2024,29-dic-2024 16:17:00.571,-72.92494207620621,4.609294761903584,0.0,4.0,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:17:00 GMT-05:00 2024,29-dic-2024 16:17:01.572,-72.92494433932006,4.6093099331483245,0.0,3.5,293.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:17:01 GMT-05:00 2024,29-dic-2024 16:17:02.571,-72.92494484223425,4.609303479082882,0.0,3.0,292.0,0.0,0.13,0.89,0.32,
Sun Dec 29 16:17:02 GMT-05:00 2024,29-dic-2024 16:17:03.572,-72.92494484223425,4.6093034371733665,0.0,3.0,292.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:17:03 GMT-05:00 2024,29-dic-2024 16:17:04.572,-72.92494484223425,4.6093034371733665,0.0,3.0,292.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:17:04 GMT-05:00 2024,29-dic-2024 16:17:05.571,-72.92494484223425,4.6093034371733665,0.0,3.0,292.0,0.0,0.13,0.89,0.29,
Sun Dec 29 16:17:05 GMT-05:00 2024,29-dic-2024 16:17:06.572,-72.92494484223425,4.6093034371733665,0.0,3.0,292.0,0.0,0.13,0.89,0.31,
Sun Dec 29 16:17:06 GMT-05:00 2024,29-dic-2024 16:17:07.572,-72.92494609951973,4.609301425516605,1.2959999098777786,2.5,293.0,39.599998474121094,0.13,0.89,0.28,
Sun Dec 29 16:17:07 GMT-05:00 2024,29-dic-2024 16:17:08.574,-72.92494509369135,4.609306161291897,4.21199973392487,3.0,293.0,39.599998474121094,0.14,0.91,0.25,
Sun Dec 29 16:17:08 GMT-05:00 2024,29-dic-2024 16:17:09.572,-72.92494869790971,4.609310897067189,1.2959999098777786,2.5,294.0,39.599998474121094,0.19,0.88,0.34,
Sun Dec 29 16:17:09 GMT-05:00 2024,29-dic-2024 16:17:10.572,-72.92495054192841,4.609310897067189,2.1599998140335117,2.5,294.0,39.599998474121094,0.17,0.91,0.23,
Sun Dec 29 16:17:10 GMT-05:00 2024,29-dic-2024 16:17:11.572,-72.92495347559452,4.609312028624117,3.167999898910523,2.5,294.0,39.599998474121094,0.13,0.91,0.23,
Sun Dec 29 16:17:11 GMT-05:00 2024,29-dic-2024 16:17:12.575,-72.92496277950704,4.60931533947587,6.119999580383308,3.0,294.0,39.599998474121094,0.17,0.88,0.21,
Sun Dec 29 16:17:12 GMT-05:00 2024,29-dic-2024 16:17:13.573,-72.9249771963805,4.609322254545987,6.515999621391302,3.0,294.0,303.0,0.12,0.92,0.24,
Sun Dec 29 16:17:13 GMT-05:00 2024,29-dic-2024 16:17:14.575,-72.92498817667365,4.609332145191729,5.975999721527103,3.0,294.0,302.29998779296875,0.05,0.93,0.28,
