GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Sat Dec 28 09:54:56 GMT-05:00 2024,28-dic-2024 09:54:56.486,-73.62184979952872,4.169108932837844,37.33199859905244,12.0,458.0,32.79999923706055,0.08,0.9,0.28,
Sat Dec 28 09:54:57 GMT-05:00 2024,28-dic-2024 09:54:57.485,-73.62180260941386,4.169113878160715,35.09999907016754,18.5,432.0,32.599998474121094,0.08,0.9,0.29,
Sat Dec 28 09:54:59 GMT-05:00 2024,28-dic-2024 09:54:59.484,-73.6216224823147,4.1693313885480165,36.791996553421086,12.0,438.0,32.5,0.08,0.91,0.29,
Sat Dec 28 09:54:59 GMT-05:00 2024,28-dic-2024 09:55:00.485,-73.62157730385661,4.1694333124905825,37.65599913978576,11.0,454.0,33.20000076293945,0.08,0.89,0.29,
Sat Dec 28 09:55:01 GMT-05:00 2024,28-dic-2024 09:55:02.485,-73.62142383120954,4.169609374366701,39.77999963283537,24.5,440.0,34.70000076293945,0.09,0.91,0.28,
Sat Dec 28 09:55:03 GMT-05:00 2024,28-dic-2024 09:55:04.484,-73.62140740267932,4.169618510641158,38.6639981517792,7.5,442.0,35.20000076293945,0.08,0.91,0.29,
Sat Dec 28 09:55:04 GMT-05:00 2024,28-dic-2024 09:55:05.485,-73.62134747207165,4.169709160923958,38.08799871635438,6.0,441.0,32.900001525878906,0.08,0.91,0.3,
Sat Dec 28 09:55:05 GMT-05:00 2024,28-dic-2024 09:55:06.485,-73.62128117121756,4.169799853116274,39.16799937438964,6.0,442.0,30.899999618530273,0.08,0.89,0.28,
Sat Dec 28 09:55:06 GMT-05:00 2024,28-dic-2024 09:55:07.485,-73.62122618593276,4.169881283305585,39.59999895095825,5.0,441.0,31.600000381469727,0.09,0.91,0.28,
Sat Dec 28 09:55:08 GMT-05:00 2024,28-dic-2024 09:55:08.486,-73.62111956812441,4.1700500110164285,37.65599913978576,4.0,441.0,31.700000762939453,0.07,0.91,0.28,
Sat Dec 28 09:55:09 GMT-05:00 2024,28-dic-2024 09:55:09.487,-73.62106181681156,4.170132195577025,37.58399749374394,4.0,440.0,33.20000076293945,0.08,0.9,0.29,
Sat Dec 28 09:55:10 GMT-05:00 2024,28-dic-2024 09:55:10.487,-73.62100046128035,4.170208889991045,39.34799662303931,3.5,440.0,37.29999923706055,0.08,0.89,0.29,
